reads.numb,expressed.gene.numb,sample.id
1.628267,7329,embryo20-21h_E3_G9
0.978237,4890,embryo20-21h_E3_B10
2.055699,7491,embryo20-21h_E3_E8
1.994771,5852,embryo20-21h_E3_D9
1.837233,7426,embryo20-21h_E3_A4
11.491113,9797,embryo20-21h_E3_D2
0.666296,4561,embryo20-21h_E3_B7
3.44351,7853,embryo20-21h_E3_C2
0.301762,4519,embryo20-21h_E3_G11
1.47116,5124,embryo20-21h_E3_C4
1.698932,6594,embryo23-24h_E1_1_B3
0.516141,4922,embryo23-24h_E1_2_G3
2.12656,6368,embryo23-24h_E1_2_G2
0.811611,4720,embryo23-24h_E1_2_E3
1.149565,6438,embryo23-24h_E2_C9
0.733,5713,embryo23-24h_E2_F4
8.214621,9937,embryo23-24h_E2_A12
3.753353,7882,embryo23-24h_E2_D3
6.172564,8836,embryo23-24h_E2_B5
1.151845,7961,embryo23-24h_E2_G7
1.154739,6311,embryo23-24h_E2_F9
1.155701,6094,embryo23-24h_E2_C5
0.995414,6191,embryo23-24h_E2_D12
1.531536,7994,embryo23-24h_E2_F7
6.429739,9689,embryo23-24h_E2_H3
0.484665,5416,embryo23-24h_E2_E8
1.228638,6739,embryo23-24h_E2_G12
6.275842,9651,embryo23-24h_E2_B11
1.169749,6654,embryo23-24h_E2_H6
0.414297,4754,embryo23-24h_E2_C2
7.014593,10011,embryo23-24h_E2_H5
9.014481,10251,embryo23-24h_E2_H4
2.7183,8579,embryo23-24h_E2_E3
2.341686,7300,embryo23-24h_E2_D11
2.904043,7618,embryo23-24h_E2_C11
1.223906,4837,embryo23-24h_E3_D10
0.89424,6462,embryo23-24h_E3_C6
0.608696,5390,embryo23-24h_E3_B12
1.456295,6772,embryo23-24h_E3_D12
1.010467,6260,embryo23-24h_E3_E1
1.251057,5193,embryo23-24h_E3_C12
0.866849,4682,embryo23-24h_E3_A6
