gene.name,F10,F11,F12,U13,F14A,U14A,F14B,F14B_r2,F14C,F14C_r2,F14D,U14D,M10,M11,M12,M13,M14A,M14A_r2,M14B,M14B_r2,M14C,M14C_r2,M14D,M14D_r2
FBgn0000077,5.20124177119825,5.04875931191986,4.84096670448742,3.54225804976692,2.42223300068305,3.62293035092018,2.59215800212536,3.40190347160796,3.28392177230762,3.64385618977473,2.67129337248158,5.01435529297707,4.98048235553826,5.01435529297707,4.34411833452143,3.66106547980695,3.23878685958712,2.53106949272595,3.24488705912353,2.88362081628567,2.51349074558812,2.83592407425438,3.05484847699562,
FBgn0000083,7.26584942144085,7.11935617703968,7.31424334674856,7.32210842049736,7.48976769700826,7.38024459047819,7.28382919393682,7.35614381022528,7.15421053058834,7.22853012262995,7.166514610409,7.1278396000753,7.39626226099011,7.27127625917593,7.37963828870801,7.51214785854752,7.50207595604579,7.21499901883646,7.33028948300106,6.98139603197215,7.43371061533312,7.10496560483998,7.09771612974375,
FBgn0000084,5.09423606984577,4.27947129564447,3.0036022366802,1.77820857639809,0.978195629681652,1.59931779369823,1.32192809488736,1.14404636961671,1.22650852980868,1.28095631383106,1.40599235967584,4.63110428236588,5.22997238511225,3.89044669267991,3.01613970265525,2.37851162325373,1.70487196445635,1.04264433740849,1.51096191927738,0.871843648509318,0.815575428862573,1.46466826700344,1.04264433740849,
FBgn0000092,0.0840642647884746,0,0,0.0840642647884746,0.070389327891398,0.214124805352847,0.0840642647884746,0.485426827170242,0.310340120612151,0.650764559116902,1.02147972741045,0.0976107966264223,0.124328135002202,0,0,0.137503523749935,0.070389327891398,0.505890929729957,0,0.713695814843359,0.495695162624069,0.992768430768924,0.790772037862,
FBgn0000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238786859587117,0,,
FBgn0000097,5.81864608282254,6.14608493861619,5.3437631221496,4.38750040648098,3.44757919654888,3.31324585178756,3.89917563048051,4.81352468929781,4.29130885982897,5.56498780095989,5.94204525991605,6.08725066461331,6.07274895156064,5.87159726561385,5.73254056130812,4.56924802986718,4.25096157353322,2.52105073690096,3.9429835981871,5.20006486151431,3.98550043030489,5.05267672430358,5.24298351610969,5.92481250360578
FBgn0000100,10.970300058832,10.3991176755086,10.7153357144008,10.9729582531438,10.9869015160572,11.4485448161685,10.8717435605327,11.0880329113887,10.8165757083474,10.7594055401434,10.8724978988238,10.2668568001062,11.1293989431388,10.6653981009761,10.588208666789,11.248200365814,11.1542991517193,11.4504483428469,10.8284221380988,10.7987147949614,11.0568679860845,11.2651520440563,11.0516847750316,
FBgn0000108,0.400537929583729,0.22650852980868,0.137503523749935,0.0426443374084937,0.0143552929770701,0.250961573533219,0.0565835283663675,0.22650852980868,0.0976107966264223,0.0976107966264223,0.443606651475615,0.37851162325373,0.27500704749987,0.495695162624069,0.070389327891398,0.0976107966264223,0.0840642647884746,0.250961573533219,0.0565835283663675,0.0840642647884746,0.137503523749935,0.111031312388744,,
FBgn0000109,4.94438996227009,5.19731499947382,5.55887985347544,5.5981269599196,5.4947356048628,5.43162295971329,5.28688114778816,5.34127418369217,5.07809742302666,5.53200519379057,5.44028782084042,5.28762004411207,5,5.22766407255439,5.23610988988963,5.22110372536788,5.32156737603541,5.23342794374847,5.39848719001897,5.50937914891469,5.22458056608345,5.43128865429159,5.74092756031863,
FBgn0000115,6.46564802598228,6.65449282588346,6.88740341635232,6.8891084419241,6.9862971535539,6.91910167955939,6.6406787642337,6.26303440583379,6.4631973798335,5.90544717873885,5.77294133783134,6.50064273606281,6.5413289770456,6.67398035122985,6.66092291396456,6.99322146736894,6.91790907385298,6.9282518702876,6.75475391310454,5.80683958179819,6.61087719947195,6.09127669436522,5.70071713282148,6.33699741660501
