dataset	taxaID	locus	gene	score	essentiality	pmid	Ref_db
110	7227	FBgn0000562	egl	0	NE	NULL	flybase
110	7227	FBgn0000564	Eh	0.25	C	NULL	flybase
110	7227	FBgn0000565	Eip71CD	0	NE	NULL	flybase
110	7227	FBgn0000566	Eip55E	0.25	C	NULL	flybase
110	7227	FBgn0000567	Eip74EF	0.64	C	NULL	flybase
110	7227	FBgn0000568	Eip75B	0.84	C	NULL	flybase
110	7227	FBgn0000573	elr	0	NE	NULL	flybase
110	7227	FBgn0000574	elyC	1	E	NULL	flybase
110	7227	FBgn0000575	emc	0.229	C	NULL	flybase
110	7227	FBgn0000576	ems	0.25	C	NULL	flybase
110	7227	FBgn0000577	en	0.805	C	NULL	flybase
110	7227	FBgn0000578	ena	0.84	C	NULL	flybase
110	7227	FBgn0000579	Eno	0.36	C	NULL	flybase
110	7227	FBgn0000580	eor	1	E	NULL	flybase
110	7227	FBgn0000581	E(Pc)	0.64	C	NULL	flybase
110	7227	FBgn0000583	eql	1	E	NULL	flybase
110	7227	FBgn0000585	erratic	1	E	NULL	flybase
110	7227	FBgn0000586	es	1	E	NULL	flybase
110	7227	FBgn0000588	esc	0.734	C	NULL	flybase
110	7227	FBgn0000591	E(spl)m8-HLH	0.891	C	NULL	flybase
110	7227	FBgn0000592	Est-6	0	NE	NULL	flybase
110	7227	FBgn0000594	Est-P	0	NE	NULL	flybase
110	7227	FBgn0000600	E(var)88D	1	E	NULL	flybase
110	7227	FBgn0000601	E(var)100C-F	1	E	NULL	flybase
110	7227	FBgn0000602	E(var)301	0	NE	NULL	flybase
110	7227	FBgn0000603	E(var)302	0	NE	NULL	flybase
110	7227	FBgn0000604	E(var)303	0	NE	NULL	flybase
110	7227	FBgn0000605	E(var)c101	0	NE	NULL	flybase
110	7227	FBgn0000606	eve	0.84	C	NULL	flybase
110	7227	FBgn0000607	E(w[a])	1	E	NULL	flybase
110	7227	FBgn0000611	exd	1	E	NULL	flybase
110	7227	FBgn0000612	exi	0	NE	NULL	flybase
110	7227	FBgn0000614	Ext	1	E	NULL	flybase
110	7227	FBgn0000615	exu	0.715	C	NULL	flybase
110	7227	FBgn0000617	e(y)1	0.562	C	NULL	flybase
110	7227	FBgn0000618	e(y)2	0.062	C	NULL	flybase
110	7227	FBgn0000624	Eye	1	E	NULL	flybase
110	7227	FBgn0000625	eyg	0.25	C	NULL	flybase
110	7227	FBgn0000629	E(z)	0.822	C	NULL	flybase
110	7227	FBgn0000631	fai	1	E	NULL	flybase
110	7227	FBgn0000633	CG17716	0	NE	NULL	flybase
110	7227	FBgn0000635	Fas2	0.427	C	NULL	flybase
110	7227	FBgn0000636	Fas3	0.01	C	NULL	flybase
110	7227	FBgn0000639	Fbp1	0	NE	NULL	flybase
110	7227	FBgn0000640	Fbp2	0.25	C	NULL	flybase
110	7227	FBgn0000641	fc	0	NE	NULL	flybase
110	7227	FBgn0000642	fch	1	E	NULL	flybase
110	7227	FBgn0000643	fcl	1	E	NULL	flybase
110	7227	FBgn0000644	Fcp3C	0	NE	NULL	flybase
110	7227	FBgn0000649	fdg	1	E	NULL	flybase
110	7227	FBgn0000653	ff	0	NE	NULL	flybase
110	7227	FBgn0000655	fi	1	E	NULL	flybase
110	7227	FBgn0000656	fil	0	NE	NULL	flybase
110	7227	FBgn0000657	fin	0	NE	NULL	flybase
110	7227	FBgn0000658	fj	0.049	C	NULL	flybase
110	7227	FBgn0000659	fkh	0.734	C	NULL	flybase
110	7227	FBgn0000661	fl(1)302	0.25	C	NULL	flybase
110	7227	FBgn0000662	fl(2)d	0.64	C	NULL	flybase
110	7227	FBgn0000663	fla	0	NE	NULL	flybase
110	7227	FBgn0000664	fle	0.25	C	NULL	flybase
110	7227	FBgn0000667	Actn	0.404	C	NULL	flybase
110	7227	FBgn0000669	fliC	1	E	NULL	flybase
110	7227	FBgn0000672	fliG	1	E	NULL	flybase
110	7227	FBgn0000686	l(1)adl16	1	E	NULL	flybase
110	7227	FBgn0000709	fliI	0.591	C	NULL	flybase
110	7227	FBgn0000711	flw	0.66	C	NULL	flybase
110	7227	FBgn0000715	FMRFa	0.25	C	NULL	flybase
110	7227	FBgn0000716	fnc	0	NE	NULL	flybase
110	7227	FBgn0000718	Forkoid	1	E	NULL	flybase
110	7227	FBgn0000719	fog	0.84	C	NULL	flybase
110	7227	FBgn0000721	for	0.756	C	NULL	flybase
110	7227	FBgn0000723	FER	0.111	C	NULL	flybase
110	7227	FBgn0000724	fr	0.444	C	NULL	flybase
110	7227	FBgn0000726	Frd	1	E	NULL	flybase
110	7227	FBgn0000727	frh	1	E	NULL	flybase
110	7227	FBgn0000733	fs(1)42	0	NE	NULL	flybase
110	7227	FBgn0000738	fs(1)A99	1	E	NULL	flybase
110	7227	FBgn0000739	fs(1)A117	1	E	NULL	flybase
110	7227	FBgn0000740	fs(1)A120	1	E	NULL	flybase
110	7227	FBgn0000743	fs(1)A214	1	E	NULL	flybase
110	7227	FBgn0000747	fs(1)A330	1	E	NULL	flybase
110	7227	FBgn0000748	fs(1)A331	1	E	NULL	flybase
110	7227	FBgn0000751	fs(1)A383	1	E	NULL	flybase
110	7227	FBgn0000753	fs(1)A426	1	E	NULL	flybase
110	7227	FBgn0000755	fs(1)A436	1	E	NULL	flybase
110	7227	FBgn0000760	fs(1)A475	1	E	NULL	flybase
110	7227	FBgn0000761	fs(1)A476	1	E	NULL	flybase
110	7227	FBgn0000764	fs(1)A572	1	E	NULL	flybase
110	7227	FBgn0000766	fs(1)A1010	1	E	NULL	flybase
